"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         213,      -13.59155865,      -11.17035131,      -11.62196699,      -11.61522909,      -8.172885712
          0,           0,         214,      -13.69451098,      -11.39315895,      -11.33665132,      -11.50715959,      -8.250907563
          0,           0,         215,      -13.70103253,      -11.37876528,      -11.52312874,      -11.71969553,       -8.25512266
          0,           0,         216,      -13.82235604,      -11.54284187,      -11.66474647,      -11.74644763,      -8.387552437
          0,           0,         217,      -13.80248505,      -11.57625736,      -11.49761252,      -11.49557508,      -8.361075183
          0,           0,         218,      -13.83227911,      -11.55077819,      -11.43938164,      -11.63554998,      -8.413311594
          0,           0,         219,      -13.71591697,      -11.44643841,      -11.26057589,      -11.55921732,      -8.258611202
          0,           0,         220,      -13.74821503,      -11.54027168,      -11.47034647,      -11.58682731,      -8.292763011
          0,           0,         221,      -13.59153181,      -11.49966493,      -11.15239955,       -11.4009255,      -8.135485273
          0,           0,         222,      -13.76186375,       -11.4929529,      -11.31378031,      -11.53750937,      -8.315426268
          0,           0,         223,      -13.75076039,      -11.43864506,      -11.43946427,      -11.56121006,      -8.306942808
          0,           0,         224,      -13.81657964,      -11.58956267,      -11.53772202,      -11.54486715,      -8.393369038
          0,           0,         225,      -13.81010127,      -11.51293871,      -11.42001408,      -11.56006384,      -8.361318545
          0,           0,         226,      -13.76051029,      -11.47684199,      -11.44302714,      -11.52771867,      -8.317451308
          0,           0,         227,      -13.65254256,      -11.41939503,      -11.27276976,      -11.50244642,      -8.201918274
          0,           0,         228,      -13.86388526,      -11.49559197,      -11.58551355,       -11.6389527,       -8.41873254
          0,           0,         229,       -13.8476324,      -11.58078734,      -11.52291976,      -11.67552337,       -8.42391792
          0,           0,         230,      -13.66606574,      -11.38382988,      -11.29321005,      -11.55088579,      -8.221449169
          0,           0,         231,      -13.71342409,      -11.40905514,      -11.34417812,      -11.43568966,      -8.277485957
          0,           0,         232,       -13.7493605,      -11.34686469,      -11.28538715,      -11.57733549,      -8.302690765
          0,           0,         233,      -13.64445933,      -11.34560062,      -11.21272382,      -11.48253142,      -8.191201648
          0,           0,         234,      -13.86397843,       -11.5380259,       -11.4852513,      -11.62142073,      -8.438239828
          0,           0,         235,      -13.76630591,      -11.48807081,      -11.48011738,      -11.52019862,      -8.325937776
          0,           0,         236,       -13.7222364,       -11.5864094,      -11.25647295,      -11.58190696,      -8.264341844
          0,           0,         237,      -13.75105128,      -11.50287539,      -11.29985149,      -11.51645705,      -8.314060575
          0,           0,         238,      -13.64506625,      -11.47596586,       -11.2050394,      -11.43097447,      -8.186519289
          0,           0,         239,      -13.79052806,      -11.47009364,      -11.45312522,      -11.55993409,      -8.349958387
          0,           0,         240,      -13.70746359,      -11.56916378,      -11.29882195,      -11.50200436,      -8.252688154
          0,           0,         241,      -13.87004729,      -11.65106206,      -11.45001332,      -11.46771569,      -8.428099982
          0,           0,         242,      -13.66054714,      -11.55556186,      -11.21504995,      -11.43852464,      -8.204655934
